season,season_end_year,player_name,team,games_played,minutes_played,pts,trb,ast,stl,blk,fg_pct,fg3_pct,ft_pct,player_key,last_updated_utc
2025-26,2026,Elijah Harkless,UTA,26,21.0,6.8,2.0,2.9,1.2,0.2,0.335,0.239,0.766,elijah_harkless,2026-04-07T17:04:13Z
2025-26,2026,Ethan Thompson,IND,28,18.5,5.6,1.8,1.5,0.6,0.3,0.362,0.323,0.72,ethan_thompson,2026-04-07T17:04:13Z
2025-26,2026,Evan Mobley,CLE,63,32.0,18.2,8.9,3.7,0.8,1.7,0.548,0.301,0.606,evan_mobley,2026-04-07T17:04:13Z
2025-26,2026,Franz Wagner,ORL,31,30.6,20.5,5.5,3.4,1.0,0.3,0.479,0.336,0.825,franz_wagner,2026-04-07T17:04:13Z
2025-26,2026,GG Jackson,MEM,55,21.4,12.5,4.3,1.5,0.6,0.8,0.496,0.332,0.742,gg_jackson,2026-04-07T17:04:13Z
2025-26,2026,Gabe Vincent,ATL,51,16.7,4.3,1.0,1.5,0.5,0.1,0.343,0.329,0.95,gabe_vincent,2026-04-07T17:04:13Z
2025-26,2026,Gary Payton II,GSW,69,15.6,7.4,3.7,1.7,0.9,0.3,0.573,0.296,0.611,gary_payton,2026-04-07T17:04:13Z
2025-26,2026,Gary Trent Jr.,MIL,64,21.2,8.2,1.0,1.2,0.5,0.0,0.39,0.368,0.765,gary_trent,2026-04-07T17:04:13Z
2025-26,2026,Giannis Antetokounmpo,MIL,36,28.9,27.6,9.8,5.4,0.9,0.7,0.624,0.333,0.65,giannis_antetokounmpo,2026-04-07T17:04:13Z
2025-26,2026,Goga Bitadze,ORL,61,15.0,5.6,4.7,1.3,0.6,1.0,0.673,0.182,0.7,goga_bitadze,2026-04-07T17:04:13Z
2025-26,2026,Grant Williams,CHA,33,19.5,7.1,3.9,1.6,0.4,0.4,0.428,0.388,0.815,grant_williams,2026-04-07T17:04:13Z
2025-26,2026,Grayson Allen,PHX,49,29.2,16.8,3.0,3.9,1.4,0.2,0.405,0.353,0.849,grayson_allen,2026-04-07T17:04:13Z
2025-26,2026,Gui Santos,GSW,66,20.5,9.3,3.9,2.3,0.9,0.3,0.505,0.352,0.729,gui_santos,2026-04-07T17:04:13Z
2025-26,2026,Harrison Barnes,SAS,74,25.8,9.9,2.8,1.9,0.6,0.2,0.452,0.389,0.828,harrison_barnes,2026-04-07T17:04:13Z
2025-26,2026,Herbert Jones,NOP,56,28.4,8.9,3.4,2.8,1.6,0.5,0.383,0.309,0.806,herbert_jones,2026-04-07T17:04:13Z
2025-26,2026,Immanuel Quickley,TOR,67,32.4,16.9,4.1,6.0,1.3,0.1,0.445,0.374,0.821,immanuel_quickley,2026-04-07T17:04:13Z
2025-26,2026,Isaac Okoro,CHI,62,27.1,9.2,2.7,1.6,0.7,0.5,0.458,0.33,0.791,isaac_okoro,2026-04-07T17:04:13Z
2025-26,2026,Isaiah Collier,UTA,59,25.7,11.7,2.5,7.2,1.1,0.3,0.495,0.27,0.722,isaiah_collier,2026-04-07T17:04:13Z
2025-26,2026,Isaiah Hartenstein,OKC,45,24.6,9.4,9.6,3.6,1.0,0.8,0.621,0.0,0.602,isaiah_hartenstein,2026-04-07T17:04:13Z
2025-26,2026,Isaiah Jackson,LAC,55,16.5,6.7,5.3,0.9,0.7,0.9,0.637,0.0,0.648,isaiah_jackson,2026-04-07T17:04:13Z
2025-26,2026,Isaiah Joe,OKC,69,21.3,10.8,2.6,1.3,0.7,0.2,0.448,0.415,0.89,isaiah_joe,2026-04-07T17:04:13Z
2025-26,2026,Isaiah Stewart,DET,55,23.2,10.0,5.1,1.2,0.3,1.6,0.541,0.333,0.76,isaiah_stewart,2026-04-07T17:04:13Z
2025-26,2026,Ivica Zubac,IND,48,30.1,14.1,10.6,2.2,0.4,0.8,0.598,0.0,0.711,ivica_zubac,2026-04-07T17:04:13Z
2025-26,2026,Ja Morant,MEM,20,28.4,19.5,3.3,8.1,1.0,0.3,0.41,0.235,0.897,ja_morant,2026-04-07T17:04:13Z
2025-26,2026,Ja'Kobe Walter,TOR,68,20.1,7.3,2.5,1.2,1.0,0.2,0.443,0.402,0.798,jakobe_walter,2026-04-07T17:04:13Z
2025-26,2026,Jabari Smith Jr.,HOU,74,35.0,15.7,6.9,1.9,0.8,0.9,0.452,0.366,0.778,jabari_smith,2026-04-07T17:04:13Z
2025-26,2026,Jaden Hardy,WAS,56,15.7,9.2,1.5,1.0,0.3,0.1,0.426,0.395,0.753,jaden_hardy,2026-04-07T17:04:13Z
2025-26,2026,Jaden Ivey,CHI,37,18.1,8.5,2.5,1.8,0.6,0.4,0.445,0.373,0.809,jaden_ivey,2026-04-07T17:04:13Z
2025-26,2026,Jaden McDaniels,MIN,71,31.9,14.8,4.2,2.7,1.1,1.0,0.518,0.421,0.839,jaden_mcdaniels,2026-04-07T17:04:13Z
2025-26,2026,Jahmai Mashack,MEM,28,19.8,5.7,2.2,1.3,1.3,0.4,0.399,0.267,0.567,jahmai_mashack,2026-04-07T17:04:13Z
2025-26,2026,Jaime Jaquez Jr.,MIA,71,28.3,15.2,5.1,4.7,0.7,0.3,0.501,0.305,0.771,jaime_jaquez,2026-04-07T17:04:13Z
