season,season_end_year,player_name,team,games_played,minutes_played,pts,trb,ast,stl,blk,fg_pct,fg3_pct,ft_pct,player_key,last_updated_utc,team_name_lookup,team_win_pct,team_conf_rank,team_conference,ridge_pred_vote_share,mvp_score,mvp_rank,mvp_tier
2025-26,2026,Ja'Kobe Walter,TOR,37,17.7,6.1,2.1,0.9,0.9,0.2,0.431,0.367,0.75,jakobe_walter,2026-01-24T02:19:06Z,Raptors,0.587,4,East,-0.5054734935460713,0.33079716564647343,213,Outside
2025-26,2026,Luke Kennard,ATL,40,20.4,7.8,2.0,2.2,0.8,0.1,0.524,0.473,0.933,luke_kennard,2026-01-24T02:19:06Z,Hawks,0.457,10,East,-0.34243828461532466,0.3300425220331953,214,Outside
2025-26,2026,Ochai Agbaji,TOR,37,16.4,4.5,2.3,0.8,0.4,0.3,0.411,0.197,0.889,ochai_agbaji,2026-01-24T02:19:06Z,Raptors,0.587,4,East,-0.510549947455204,0.32814808723388755,215,Outside
2025-26,2026,Kyshawn George,WAS,34,31.3,15.6,5.8,5.0,1.1,0.9,0.459,0.397,0.772,kyshawn_george,2026-01-24T02:19:06Z,Wizards,0.233,14,East,-0.15046888772979017,0.3275981249049036,216,Outside
2025-26,2026,Josh Okogie,HOU,42,19.5,5.5,2.7,0.9,1.0,0.2,0.44,0.394,0.646,josh_okogie,2026-01-24T02:19:06Z,Rockets,0.619,4,West,-0.5319965392386065,0.32753498746707077,217,Outside
2025-26,2026,Simone Fontecchio,MIA,42,16.7,8.5,3.0,1.4,0.5,0.1,0.404,0.373,0.81,simone_fontecchio,2026-01-24T02:19:06Z,Heat,0.511,8,East,-0.4089180025898623,0.3274879395509932,218,Outside
2025-26,2026,Caleb Love,POR,37,22.2,11.3,2.7,2.6,0.6,0.1,0.393,0.329,0.744,caleb_love,2026-01-24T02:19:06Z,Trail Blazers,0.511,9,West,-0.40424275426702977,0.32278479714349745,219,Outside
2025-26,2026,Myles Turner,MIL,41,28.3,12.2,5.3,1.6,0.6,1.5,0.421,0.39,0.757,myles_turner,2026-01-24T02:19:06Z,Bucks,0.419,11,East,-0.32210349924732185,0.3209491125298726,220,Outside
2025-26,2026,Max Christie,DAL,41,29.3,13.0,3.5,2.2,0.5,0.3,0.485,0.457,0.855,max_christie,2026-01-24T02:19:06Z,Mavericks,0.422,12,West,-0.32240056848321846,0.31464296938477204,221,Outside
2025-26,2026,Day'Ron Sharpe,BKN,40,18.1,7.9,6.2,2.4,1.0,0.5,0.607,0.2,0.673,dayron_sharpe,2026-01-24T02:19:06Z,Nets,0.286,13,East,-0.22261736513871233,0.3146119417742121,222,Outside
2025-26,2026,Kris Dunn,LAC,44,27.5,7.9,2.9,3.2,1.5,0.2,0.487,0.372,0.792,kris_dunn,2026-01-24T02:19:06Z,Clippers,0.455,10,West,-0.3720023022972932,0.31395378456889195,223,Outside
2025-26,2026,Andrew Nembhard,IND,35,31.9,17.4,2.7,7.1,0.9,0.1,0.445,0.356,0.816,andrew_nembhard,2026-01-24T02:19:06Z,Pacers,0.222,15,East,-0.1567981766480744,0.31351605080709327,224,Outside
2025-26,2026,Mike Conley,MIN,39,18.5,4.7,1.7,2.9,0.6,0.2,0.338,0.336,0.881,mike_conley,2026-01-24T02:19:06Z,Timberwolves,0.6,7,West,-0.5098067802132162,0.31140484818168424,225,Outside
2025-26,2026,Nikola Jović,MIA,34,18.9,8.1,3.7,2.7,0.6,0.4,0.371,0.285,0.705,nikola_jovic,2026-01-24T02:19:06Z,Heat,0.511,8,East,-0.44023237181008607,0.3111469619729637,226,Outside
2025-26,2026,Jared McCain,PHI,31,16.7,6.1,2.1,1.5,0.7,0.0,0.354,0.323,0.88,jared_mccain,2026-01-24T02:19:06Z,76ers,0.558,5,East,-0.5120434950706914,0.3106390657265519,227,Outside
2025-26,2026,Kentavious Caldwell-Pope,MEM,41,20.9,8.3,2.4,2.9,0.8,0.2,0.411,0.35,0.933,kentavious_caldwellpope,2026-01-24T02:19:06Z,Grizzlies,0.429,11,West,-0.3604790436650358,0.30422914185897143,228,Outside
2025-26,2026,T.J. McConnell,IND,32,17.2,9.7,2.3,4.9,1.2,0.2,0.535,0.324,0.923,tj_mcconnell,2026-01-24T02:19:06Z,Pacers,0.222,15,East,-0.1753938803936482,0.3038121357827456,229,Outside
2025-26,2026,Jordan Miller,LAC,23,18.4,8.4,3.0,1.6,0.7,0.2,0.516,0.396,0.83,jordan_miller,2026-01-24T02:19:06Z,Clippers,0.455,10,West,-0.3916294142920608,0.30371164318094296,230,Outside
2025-26,2026,Zach LaVine,SAC,33,32.5,19.8,2.8,2.4,0.7,0.3,0.486,0.399,0.866,zach_lavine,2026-01-24T02:19:06Z,Kings,0.267,14,West,-0.21801407509017984,0.3035902571846533,231,Outside
2025-26,2026,Lonzo Ball,CLE,30,21.2,4.9,3.9,4.1,1.2,0.3,0.304,0.271,0.7,lonzo_ball,2026-01-24T02:19:06Z,Cavaliers,0.556,6,East,-0.5124654328115975,0.3026148690888352,232,Outside
2025-26,2026,Derrick Jones Jr.,LAC,17,24.2,10.4,2.6,1.2,0.8,1.1,0.556,0.4,0.774,derrick_jones,2026-01-24T02:19:06Z,Clippers,0.455,10,West,-0.3949365485668708,0.3019858601497682,233,Outside
2025-26,2026,Dereck Lively II,DAL,7,16.5,4.3,5.3,1.9,0.6,1.6,0.611,0.0,0.8,dereck_lively,2026-01-24T02:19:06Z,Mavericks,0.422,12,West,-0.34849102272077,0.3010280207744999,234,Outside
2025-26,2026,Dean Wade,CLE,36,22.6,5.6,4.1,1.6,0.7,0.4,0.391,0.318,0.75,dean_wade,2026-01-24T02:19:06Z,Cavaliers,0.556,6,East,-0.5186613988837808,0.29938158848376434,235,Outside
2025-26,2026,Tyus Jones,ORL,43,16.1,3.1,1.1,2.3,0.7,0.1,0.336,0.278,1.0,tyus_jones,2026-01-24T02:19:06Z,Magic,0.535,7,East,-0.505509715657886,0.2921596095569877,236,Outside
